timestamp,sensor_a,sensor_b,note
2025-09-20T10:00:00,61.327,54.853,
2025-09-20T10:01:00,58.232,55.41,
2025-09-20T10:02:00,50.392,40.05,
2025-09-20T10:03:00,30.344,31.319,
2025-09-20T10:04:00,43.189,34.653,
2025-09-20T10:05:00,49.083,43.633,
2025-09-20T10:06:00,36.887,37.536,
2025-09-20T10:07:00,36.887,34.766,
2025-09-20T10:08:00,56.635,45.312,
2025-09-20T10:09:00,56.266,40.249,
2025-09-20T10:10:00,45.644,43.812,
2025-09-20T10:11:00,42.099,41.984,
2025-09-20T10:12:00,53.863,52.259,
2025-09-20T10:13:00,52.066,48.824,
2025-09-20T10:14:00,53.281,48.806,
2025-09-20T10:15:00,45.867,39.099,
2025-09-20T10:16:00,49.976,48.474,
2025-09-20T10:17:00,44.128,36.551,
2025-09-20T10:18:00,49.475,50.667,
2025-09-20T10:19:00,49.278,-12.5,
2025-09-20T10:20:00,52.724,50.952,
2025-09-20T10:21:00,64.091,56.275,
2025-09-20T10:22:00,51.29,46.891,
2025-09-20T10:23:00,38.836,28.528,
2025-09-20T10:24:00,44.082,44.84,
2025-09-20T10:25:00,52.331,47.531,
2025-09-20T10:26:00,51.452,48.658,
2025-09-20T10:27:00,49.631,45.121,
2025-09-20T10:28:00,65.982,54.78,
2025-09-20T10:29:00,49.296,45.511,
2025-09-20T10:30:00,65.327,61.914,
2025-09-20T10:31:00,55.52,50.947,
2025-09-20T10:32:00,38.822,32.623,
2025-09-20T10:33:00,47.821,41.869,
2025-09-20T10:34:00,52.972,53.579,
2025-09-20T10:35:00,45.165,41.327,
2025-09-20T10:36:00,41.032,32.009,
2025-09-20T10:37:00,46.506,39.765,
2025-09-20T10:38:00,51.79,44.807,
2025-09-20T10:39:00,47.924,48.745,
